frame_id,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63
27,20.5,20.5,20.866666666666667,20.5,20.5,24.96666666666667,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,23.53333333333333,20.5,20.5,20.5,20.5,20.5,20.5,20.5,23.6,22.46666666666667,24.066666666666666,20.933333333333334,20.5,20.5,22.633333333333333,21.53333333333333
28,20.5,20.5,20.5,20.5,20.5,21.566666666666666,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,22.2,20.5,20.866666666666667,20.5,20.5,20.5,20.5,20.5,20.5,21.166666666666668,22.866666666666667,20.833333333333332,22.433333333333334,20.5,20.5,20.5,20.5,21.866666666666667,21.166666666666668,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,22.633333333333333,22.9,20.5,20.5,20.5,21.8,20.5,21.366666666666667,22.6
29,20.5,20.5,20.5,20.5,20.5,20.5,22.46666666666667,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21.133333333333333,20.5,20.5,20.5,23.9,21.566666666666666,20.5,20.5,20.5,20.5,20.5,21.833333333333332,21.633333333333333,20.833333333333332,20.5,20.5,22.333333333333332,20.833333333333332,20.5,22.166666666666668,20.5,20.5,20.5,20.5,20.833333333333332,20.5,20.5,20.5,22.833333333333332,22.7,21.933333333333334,20.5,20.5,20.5,20.5,20.5,20.5,20.5,22.96666666666667,23.0,23.8,23.066666666666666,20.5,20.5
30,20.5,23.433333333333334,21.266666666666666,24.033333333333335,20.5,20.5,24.3,21.633333333333333,21.766666666666666,20.5,20.5,20.5,20.5,20.5,20.5,20.5,24.3,22.4,21.2,20.5,20.5,22.633333333333333,20.5,22.4,20.5,23.53333333333333,23.6,21.166666666666668,20.5,23.133333333333333,22.566666666666666,20.5,21.933333333333334,23.233333333333334,23.3,21.8,20.5,20.5,20.5,20.5,23.4,23.466666666666665,23.366666666666667,22.833333333333332,20.5,20.5,20.5,22.96666666666667,23.7,22.0,20.5,20.5,20.5,20.5,21.666666666666668,22.733333333333334,23.766666666666666,22.8,21.766666666666666,21.333333333333332,24.1,20.933333333333334,23.066666666666666,20.5
31,20.5,20.5,20.5,20.5,20.5,20.5,24.133333333333333,20.5,20.5,20.5,20.5,21.6,20.5,20.5,20.5,20.5,20.5,20.5,20.833333333333332,23.233333333333334,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21.7,23.066666666666666,20.5,20.5,20.5,20.5,22.766666666666666,21.8,23.266666666666666,21.9,20.5,23.7,21.566666666666666,20.5,20.833333333333332,23.4,20.5,20.5,20.5,21.666666666666668,20.5,21.6,20.866666666666667,20.5,20.5,21.666666666666668,22.833333333333332,20.5,22.066666666666666,24.033333333333335,21.733333333333334,20.933333333333334,21.8,21.033333333333335,22.4
32,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,24.133333333333333,23.633333333333333,21.2,20.5,20.5,20.5,20.5,20.5,24.166666666666668,21.266666666666666,20.5,20.833333333333332,22.366666666666667,22.333333333333332,21.7,20.5,23.833333333333332,23.433333333333334,20.5,23.03333333333333,23.1,22.3,20.5,20.5,23.466666666666665,21.833333333333332,20.5,22.766666666666666,23.3,23.233333333333334,21.066666666666666,20.5,21.6,23.366666666666667,21.833333333333332,23.366666666666667,20.5,20.5,20.5,20.5,20.9,23.433333333333334,20.5,23.466666666666665,21.566666666666666,20.5,20.8,22.8,20.5,20.5,21.333333333333332,23.96666666666667,23.9,20.5,21.266666666666666,22.03333333333333
33,23.666666666666668,23.7,23.833333333333332,21.7,20.5,20.5,20.5,25.733333333333334,20.5,21.933333333333334,20.5,20.5,20.833333333333332,21.8,20.5,20.5,20.5,23.066666666666666,20.5,21.53333333333333,20.5,23.266666666666666,22.266666666666666,22.666666666666668,20.5,20.5,20.5,20.5,21.733333333333334,23.133333333333333,23.2,23.3,20.5,23.5,21.8,21.166666666666668,20.5,21.433333333333334,22.5,20.5,23.8,23.266666666666666,23.133333333333333,23.433333333333334,20.833333333333332,23.166666666666668,22.766666666666666,23.03333333333333,22.9,23.066666666666666,22.566666666666666,23.466666666666665,20.5,20.833333333333332,22.233333333333334,22.866666666666667,23.266666666666666,20.5,21.733333333333334,24.0,23.366666666666667,23.066666666666666,20.5,20.5
34,23.366666666666667,20.5,20.5,23.6,23.666666666666668,20.5,20.5,24.0,20.5,21.2,20.5,20.5,23.466666666666665,21.833333333333332,20.5,20.5,20.5,22.633333333333333,22.9,23.466666666666665,23.066666666666666,22.4,21.1,20.5,21.266666666666666,23.466666666666665,22.666666666666668,20.833333333333332,23.1,20.5,23.133333333333333,23.3,23.733333333333334,23.166666666666668,23.166666666666668,21.166666666666668,23.3,20.5,22.96666666666667,23.166666666666668,23.066666666666666,20.5,20.5,20.5,21.466666666666665,22.066666666666666,20.8,23.066666666666666,22.1,20.5,20.5,20.5,23.366666666666667,23.566666666666666,23.1,21.633333333333333,23.833333333333332,20.9,23.8,21.333333333333332,24.0,23.96666666666667,22.933333333333334,22.266666666666666
35,22.366666666666667,20.5,20.5,20.5,20.5,20.5,22.433333333333334,20.5,20.9,23.5,20.866666666666667,20.5,22.566666666666666,20.833333333333332,20.5,25.2,20.933333333333334,23.7,20.5,21.166666666666668,22.433333333333334,22.633333333333333,20.5,20.5,20.5,20.5,20.5,23.233333333333334,22.866666666666667,20.5,20.5,20.5,20.866666666666667,23.333333333333332,23.133333333333333,23.2,21.766666666666666,20.5,20.5,22.133333333333333,20.5,22.566666666666666,23.366666666666667,21.5,21.8,22.96666666666667,22.96666666666667,23.133333333333333,22.833333333333332,23.766666666666666,23.53333333333333,21.933333333333334,23.4,23.566666666666666,23.133333333333333,22.633333333333333,20.5,20.9,20.5,24.133333333333333,21.733333333333334,23.933333333333334,23.03333333333333,22.366666666666667
36,20.5,20.5,20.5,20.5,20.5,20.866666666666667,20.5,20.5,20.5,20.5,20.5,20.5,21.53333333333333,20.5,20.5,25.53333333333333,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21.166666666666668,20.5,20.5,20.5,20.5,20.5,23.0,23.666666666666668,23.333333333333332,21.166666666666668,20.5,20.5,20.5,20.5,20.5,20.5,20.5,22.46666666666667,20.5,20.5,20.5,20.5,20.8,21.3,21.966666666666665,20.5,20.5,20.5,20.5,22.266666666666666,22.96666666666667,23.266666666666666,20.5,20.5,20.5,20.5,20.5,22.833333333333332,22.4
